1     	-8925
2     	2907
3     	-8510
4     	-9878
5     	2459
6     	-3288
7     	-4006
8     	-1937
9     	9409
10     	-1611
11     	1971
12     	-7711
13     	2811
14     	1243
15     	-3556
16     	-5666
17     	8079
18     	2779
19     	-5356
20     	-8777
21     	-4774
22     	8696
23     	-5934
24     	-3389
25     	4339
26     	6830
27     	-2343
28     	-9363
29     	-5397
30     	-698
31     	-281
32     	2909
33     	-9630
34     	-853
35     	-4937
36     	5103
37     	-8612
38     	8971
39     	-2966
40     	4967
41     	-4122
42     	3426
43     	-6727
44     	1878
45     	-5006
46     	-5229
47     	9421
48     	-4394
49     	-4913
50     	-8653
51     	-9574
52     	-5451
53     	-9771
54     	2494
55     	6750
56     	7510
57     	1614
58     	224
59     	8444
60     	3901
61     	2754
62     	-2048
63     	3965
64     	-8700
65     	-236
66     	9600
67     	-7471
68     	6417
69     	-5403
70     	8636
71     	8914
72     	5773
73     	5749
74     	-4115
75     	7878
76     	-4247
77     	-4293
78     	7389
79     	1634
80     	-1760
81     	-2641
82     	9217
83     	8378
84     	7631
85     	2606
86     	-5278
87     	-7605
88     	-2191
89     	-4422
90     	1653
91     	-2960
92     	3509
93     	120
94     	1417
95     	-9281
96     	9539
97     	6687
98     	849
99     	2944
100     	-6573
101     	7222
102     	-1922
103     	2693
104     	2330
105     	-1641
106     	8364
107     	4464
108     	3418
109     	-7005
110     	3222
111     	-1198
112     	8451
113     	8240
114     	6733
115     	-6466
116     	-2117
117     	-6260
118     	6611
119     	-445
120     	-2396
121     	8581
122     	4444
123     	708
124     	-7700
125     	7232
126     	9418
127     	-8810
128     	-6606
129     	-4612
130     	-7037
131     	5820
132     	-3304
133     	5153
134     	7888
135     	8704
136     	5119
137     	-4378
138     	-5056
139     	3946
140     	-4784
141     	9704
142     	-7859
143     	8475
144     	-7247
145     	-9013
146     	7773
147     	1505
148     	-7758
149     	5418
150     	-3265
151     	-2253
152     	8018
153     	1782
154     	-8423
155     	2202
156     	402
157     	2204
158     	4657
159     	-6755
160     	-556
161     	-634
162     	-4159
163     	7625
164     	-9110
165     	-9400
